CustomerID,Name,Email,Phone,City,Country,PurchaseValue,CreditScore,AccountNumber
CUST000000,John Johnson,customer0@mail.com,+1-444-469-4672,Phoenix,USA,28491.16,514,1551613273
CUST000001,Sarah Smith,customer1@mail.com,+1-444-648-5950,Phoenix,USA,6887.22,638,3233206087
CUST000002,Daniel Brown,customer2@mail.com,+1-444-225-5998,Phoenix,USA,19279.82,685,6265988464
CUST000003,Michael Johnson,customer3@mail.com,+1-444-952-1911,Dallas,USA,24400.6,670,6613347113
CUST000004,John Wilson,customer4@mail.com,+1-444-809-8981,New York,USA,38295.85,708,2791823006
CUST000005,Michael Hall,customer5@mail.com,+1-444-484-1549,Dallas,USA,29916.2,545,1947682945
CUST000006,Ava Lewis,customer6@mail.com,+1-444-992-1220,Phoenix,USA,40468.7,416,8961851892
CUST000007,Sarah Johnson,customer7@mail.com,+1-444-314-8930,Phoenix,USA,42529.54,348,9844782450
CUST000008,David Smith,customer8@mail.com,+1-444-185-5190,New York,USA,9112.92,345,6040572801
CUST000009,Michael Walker,customer9@mail.com,+1-444-362-2043,New York,USA,7493.83,415,1506247180
CUST000010,John Walker,customer10@mail.com,+1-444-969-1866,Chicago,USA,9184.26,519,4573529210
CUST000011,Sarah Johnson,customer11@mail.com,+1-444-147-4748,Chicago,USA,29168.61,578,4671203795
CUST000012,Daniel Smith,customer12@mail.com,+1-444-671-4750,Dallas,USA,30320.67,569,7211238552
CUST000013,Emma Clark,customer13@mail.com,+1-444-577-4824,Chicago,USA,29008.05,409,1563177785
CUST000014,Sophia Wilson,customer14@mail.com,+1-444-778-5042,Dallas,USA,47003.74,574,3136656719
CUST000015,James Smith,customer15@mail.com,+1-444-925-8711,Dallas,USA,2519.96,564,2439326471
CUST000016,Daniel Smith,customer16@mail.com,+1-444-852-2331,Dallas,USA,7685.17,540,3892936663
CUST000017,Ava Hall,customer17@mail.com,+1-444-150-8238,Chicago,USA,39727.35,744,7110631970
CUST000018,Sophia Wilson,customer18@mail.com,+1-444-458-2856,Chicago,USA,14406.27,543,9033366450
CUST000019,Olivia Taylor,customer19@mail.com,+1-444-376-3652,Dallas,USA,41283.84,305,2898132216
CUST000020,Michael Walker,customer20@mail.com,+1-444-287-2825,New York,USA,1922.48,607,7486270848
CUST000021,Michael Brown,customer21@mail.com,+1-444-587-2663,Chicago,USA,1327.95,698,1149065703
CUST000022,James Taylor,customer22@mail.com,+1-444-859-8621,Dallas,USA,5955.84,360,6395489792
CUST000023,Daniel Clark,customer23@mail.com,+1-444-941-8494,Chicago,USA,39085.0,709,8637189752
CUST000024,Emma Wilson,customer24@mail.com,+1-444-398-6778,Dallas,USA,301.7,609,8577616068
CUST000025,Michael Brown,customer25@mail.com,+1-444-180-5759,Chicago,USA,40682.64,315,5733218318
CUST000026,Daniel Davis,customer26@mail.com,+1-444-409-8479,New York,USA,19535.01,518,9854486138
CUST000027,James Johnson,customer27@mail.com,+1-444-662-5634,Phoenix,USA,46738.97,713,4980026512
CUST000028,James Smith,customer28@mail.com,+1-444-416-7060,Dallas,USA,23409.19,513,8953500604
CUST000029,Sophia Brown,customer29@mail.com,+1-444-984-3927,New York,USA,23958.23,324,6998433499
CUST000030,David Johnson,customer30@mail.com,+1-444-330-8480,New York,USA,48507.72,401,6600236778
CUST000031,Ava Walker,customer31@mail.com,+1-444-914-7498,New York,USA,37115.01,386,4054715618
CUST000032,Daniel Brown,customer32@mail.com,+1-444-130-6687,New York,USA,46986.0,678,4099096758
CUST000033,Sarah Walker,customer33@mail.com,+1-444-527-8779,Dallas,USA,39309.43,705,8982805329
CUST000034,Michael Clark,customer34@mail.com,+1-444-298-1124,Dallas,USA,26274.84,387,8633549061
